City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-02-27,58.37,107.96,,47.19,,,16.244999999999997,46.78,39.51,,,,384.5,,2015,2,Winter,289.1333333333333,139.9111111111111,94.38,58.475,0.20306249999999998,19.755,155.89,Unhealthy
Ahmedabad,2015-02-28,58.37,107.96,,47.19,,,16.244999999999997,46.78,39.51,,,,384.5,,2015,2,Winter,289.1333333333333,139.9111111111111,94.38,58.475,0.20306249999999998,19.755,155.89,Unhealthy
Ahmedabad,2015-03-01,61.12,107.96,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,384.5,,2015,3,Spring,303.73333333333335,139.9111111111111,33.62,35.550000000000004,0.044750000000000005,15.24,146.09,Unhealthy
Ahmedabad,2015-03-02,60.78,107.96,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate,2015,3,Spring,302.6,139.9111111111111,36.42,36.85,0.113375,17.375,146.6,Unhealthy
Ahmedabad,2015-03-03,91.83,107.96,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe,2015,3,Spring,406.1,139.9111111111111,57.42,49.6375,0.162375,19.23,188.5,Unhealthy
Ahmedabad,2015-03-04,93.88,107.96,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor,2015,3,Spring,412.93333333333334,139.9111111111111,58.760000000000005,78.4375,0.227625,23.395,194.46,Unhealthy
Ahmedabad,2015-03-06,58.37,107.96,,47.19,,,16.244999999999997,46.78,39.51,,,,384.5,,2015,3,Spring,289.1333333333333,139.9111111111111,94.38,58.475,0.20306249999999998,19.755,155.89,Unhealthy
Ahmedabad,2015-03-07,105.45,107.96,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,384.5,,2015,3,Spring,451.5,139.9111111111111,32.2,36.6125,0.03125,34.95,199.61,Unhealthy
Ahmedabad,2015-03-08,71.56,107.96,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate,2015,3,Spring,338.53333333333336,139.9111111111111,33.66,37.85,0.043875,28.58,159.85,Unhealthy
Ahmedabad,2015-03-09,119.8,107.96,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor,2015,3,Spring,499.3333333333333,139.9111111111111,48.14,62.9375,0.051625,25.245,221.2,Very Unhealthy
Ahmedabad,2015-03-10,106.71,107.96,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor,2015,3,Spring,455.7,139.9111111111111,51.18000000000001,48.5625,0.067375,30.085,205.58,Very Unhealthy
Ahmedabad,2015-03-11,118.49,107.96,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor,2015,3,Spring,494.96666666666664,139.9111111111111,57.879999999999995,67.75,0.051375,26.805,222.25,Very Unhealthy
Ahmedabad,2015-03-12,106.01,107.96,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor,2015,3,Spring,453.3666666666667,139.9111111111111,54.620000000000005,87.86250000000001,0.0535,20.455,208.42,Very Unhealthy
Ahmedabad,2015-03-13,97.34,107.96,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor,2015,3,Spring,424.4666666666667,139.9111111111111,43.16,80.4875,0.045875,22.845,195.51,Unhealthy
Ahmedabad,2015-03-14,83.92,107.96,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor,2015,3,Spring,379.73333333333335,139.9111111111111,50.06,84.4125,0.08025,17.47,181.09,Unhealthy
Ahmedabad,2015-03-15,49.51,107.96,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219.0,Poor,2015,3,Spring,230.06666666666663,139.9111111111111,28.32,60.4125,0.03875,18.975,122.11,Unhealthy
Ahmedabad,2015-03-16,30.76,107.96,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118.0,Moderate,2015,3,Spring,105.06666666666669,139.9111111111111,28.28,54.525,0.034,27.390000000000004,78.6,Moderate
Ahmedabad,2015-03-17,50.29,107.96,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231.0,Poor,2015,3,Spring,235.26666666666665,139.9111111111111,59.68,74.0375,0.06675,22.72,131.94,Unhealthy
Ahmedabad,2015-03-18,57.69,107.96,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor,2015,3,Spring,284.59999999999997,139.9111111111111,58.96,72.9125,0.317,26.435,149.33,Unhealthy
Ahmedabad,2015-03-19,105.06,107.96,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe,2015,3,Spring,450.20000000000005,139.9111111111111,74.1,67.025,0.5780000000000001,22.825,209.39,Very Unhealthy
Ahmedabad,2015-03-20,94.1,107.96,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720.0,Severe,2015,3,Spring,413.66666666666663,139.9111111111111,73.06,76.6375,0.27675,23.385,197.39,Unhealthy
